,Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,No. of Bathrooms,No. of Receptions,Location,City/County,Postal Code
3199,Mallord Street,5750000,House,3059,5,5,5,,London,SW3 6DT
3200,West Smithfield,895000,Flat / Apartment,648,2,2,2,,London,EC1A 9DY
3201,Clarence Park Crescent,2500000,House,2316,5,5,5,Stanmore,Middlesex,HA7 3GD
3202,Sandy Lodge Way,850000,House,1384,5,5,5,Northwood,Middlesex,HA6 2AS
3203,Wyndham Street,3650000,House,2390,4,4,4,Marylebone,London,W1H 1DB
3204,Lowther Road,2800000,House,3502,6,6,6,Barnes,London,SW13 9NP
3205,The Vineyard,595000,Flat / Apartment,632,1,1,1,Richmond,Surrey,TW10 6AS
3206,Paddock Way,3499000,House,4831,5,5,5,Putney,London,SW15 3TN
3207,Danemere Street,2350000,House,3134,6,6,6,Putney,London,SW15 1LT
3208,Ravenswood Park,925000,House,1607,4,4,4,Northwood,Middlesex,HA6 3PR
3209,Lavender Gardens,950000,Flat / Apartment,911,2,2,2,,London,SW11 1DJ
3210,Quarrendon Street,4000000,House,3394,6,6,6, Fulham,London,SW6 3ST
3211,Icon Apartments,525000,Flat / Apartment,1030,3,3,3,32 Duckett Street,London,E1 4FX
3212,Metcalfe Court,575000,Flat / Apartment,924,2,2,2, Greenwich,London,SE10 0BZ
3213,Godolphin Road,1495000,House,1965,4,4,4,Shepherd's Bush,London,W12 8JW
3214,Almeric Road,500000,Flat / Apartment,546,2,2,2,,London,SW11 1HL
3215,Manor Road South,1199950,House,2041,4,4,4,Esher,Surrey,KT10 0QL
3216,Bedford Row,3000000,House,2607,5,5,5,,London,SE1 4GP
3217,Tudor House,925000,New development,666,1,1,1,Duchess Walk,London,SE1 2SA
3218,Grosvenor Square,18950000,Flat / Apartment,3541,4,4,4,,London,W1K 6LE
3219,Northumberland Place,3250000,House,1929,4,4,4,Notting Hill,London,W2 5BS
3220,Eaton House,1200000,Flat / Apartment,1574,3,3,3, Canary Wharf,London,E14 8RN
3221,Sandy Lodge Way,1250000,House,1500,4,4,4,Northwood,Middlesex,HA6 2AS
3222,Yoakley Road,1250000,House,1252,3,3,3,Stoke Newington,London,N16 0BA
3223,Chalfont House,4350000,Flat / Apartment,1773,3,3,3,19-21 Chesham Street,London,SW1X 8NG
3224,Woodstock Grove,450000,Flat / Apartment,440,1,1,1,,London,W12 8LE
3225,Albert Court,2950000,Flat / Apartment,1055,2,2,2,Kensington Gore,London,SW7 2BL
3226,Wellfields,1000000,House,1758,4,4,4,Loughton,Essex,IG10 1NX
3227,St. Frideswides Mews,400000,House,571,1,1,1,Canary Wharf,London,E14 6LN
3228,Harcourt Terrace,1200000,Flat / Apartment,569,1,1,1,,London,SW10 9JP
3229,Garthside,2500000,House,4348,6,6,6, Ham,Richmond,TW10 5JA
3230,Masons Yard,950000,Flat / Apartment,519,1,1,1,St James's,London,SW1Y 6BU
3231,Redington Road,1300000,Flat / Apartment,1210,3,3,3,Hampstead,London,NW3 7RR
3232,Discovery Dock Apartments West,800000,Flat / Apartment,1066,2,2,2, Canary Wharf,London,E14 9LT
3233,Manor Road,2650000,House,3788,4,4,4, Loughton,Essex,IG10 4AD
3234,Manor Road,2995000,House,4543,5,5,5, Loughton,Essex,IG10 4AD
3235,Pelhams Walk,2350000,New development,4300,5,5,5,Esher,Surrey,KT10 8QD
3236,Pembroke Avenue,799000,House,1589,4,4,4,Surbiton,Surrey,KT5 8HW
3237,Abingdon Villas,4650000,House,3343,4,4,4,,London,W8 6BX
3238,Columbia Gardens,695000,New development,551,1,1,1,,London,SW6 1FA
3239,Copsem Drive,2350000,House,5011,6,6,6,Esher,Surrey,KT10 9HD
3240,New Crane Place,1999000,Flat / Apartment,2247,3,3,3,,London,E1W 3TX
3241,Eaton Square,995000,Flat / Apartment,1073,2,2,2,,London,SW1W 9BD
3242,Courtyard House,1200000,Flat / Apartment,1147,3,3,3, Fulham,London,SW6 2TR
3243,North Gate,2999000,Flat / Apartment,1581,3,3,3,Prince Albert Road,London,NW8 7EJ
3244,Waterford Road,2995000,House,2486,5,5,5, Fulham,London,SW6 2DR
3245,Earl's Court Square,525000,Flat / Apartment,420,1,1,1,,London,SW5 9DG
3246,Onedin Point,600000,Flat / Apartment,799,2,2,2,22 Ensign Street,London,E1 8JT
3247,Clapham Common North Side,6995000,House,8880,7,7,7,Clapham,London,SW4 0AA
3248,Rosscourt Mansions,1000000,Flat / Apartment,1156,3,3,3,Buckingham Palace Road,London,SW1W 0PR
3249,Donovan Court,875000,Flat / Apartment,648,1,1,1, London,Chelsea,SW10 9QS
3250,Park Village West,3950000,House,2029,4,4,4,Regent's Park,London,NW1 4AE
3251,Harley Street,18500000,House,8603,6,6,6,Marylebone,London,W1G 6BF
3252,Amhurst Road,485000,Flat / Apartment,563,1,1,1,Hackney,London,E8 2AW
3253,Upper Wimpole Street,12750000,House,7526,6,6,6,Marylebone,London,W1G 6LG
3254,New Barns Farm,1000000,House,1690,4,4,4, Chigwell,Essex,IG7 6BJ
3255,New Barns Farm,1000000,New development,1636,3,3,3, Chigwell,Essex,IG7 6BJ
3256,New Barns Farm,950000,New development,1560,3,3,3, Chigwell,Essex,IG7 6BJ
3257,Bideford Avenue,650000,New development,1139,4,4,4,Perivale,Greenford,UB6 8DF
3258,Lingfield Road,1295000,Flat / Apartment,1372,2,2,2,Wimbledon,London,SW19 4QA
3259,Coombe End,3650000,House,5424,6,6,6,Kingston upon Thames,Surrey,KT2 7DQ
3260,Berkeley Tower,550000,Flat / Apartment,691,1,1,1, Canary Wharf,London,E14 8RP
3261,Ditton Grove,1000000,New development,1610,3,3,3,Esher,Surrey,KT10 9FN
3262,Arundel Gardens,9500000,House,4683,6,6,6,Notting Hill,London,W11 2LB
3263,Abbey Road,1750000,Penthouse,1535,3,3,3,St John's Wood,London,NW8 9GS
3264,The Mansions,1650000,Flat / Apartment,1698,4,4,4,252 Old Brompton Road,London,SW5 9HW
3265,Richard Burbidge Mansions,1700000,Flat / Apartment,1796,3,3,3, Barnes,London,SW13 8RB
3266,Clapham Common North Side,685000,Flat / Apartment,655,1,1,1,,London,SW4 9SH
3267,Geraldine Road,800000,Flat / Apartment,993,2,2,2,Wandsworth,London,SW18 2NS
3268,Linksway,4995000,House,8042,6,6,6,Northwood,Middlesex,HA6 2XB
3269,Wimbledon Park Road,2650000,House,3468,5,5,5,Putney,London,SW18 5SJ
3270,Barnes Avenue,3500000,New development,2720,5,5,5,Barnes,London,SW13 9AB
3271,New Providence Wharf,320000,Flat / Apartment,469,1,1,1, Canary Wharf,London,E14 9PL
3272,Upper Belgrave Street,8500000,Penthouse,3041,3,3,3,,London,SW1X 8BD
3273,Rathbone Square,2700000,New development,1087,3,3,3, Fitzrovia,London,W1T 1JN
3274,Ebury Street,3095000,Flat / Apartment,1450,3,3,3,,London,SW1W 0PB
3275,Arlington Street,3750000,Penthouse,1589,3,3,3,St James's,London,SW1A 1RD
3276,Moor Lane,800000,Flat / Apartment,572,1,1,1,City Of London,London,EC2Y 9BA
3277,Duncan Terrace,4250000,House,2940,4,4,4,Islington,London,N1 8AG
3278,The Old Sorting Office,700000,Flat / Apartment,736,1,1,1, Barnes,London,SW13 0LF
3279,The Woods,2650000,House,4828,7,7,7,Northwood,Middlesex,HA6 3EY
3280,Fife Road,4750000,House,4206,4,4,4,East Sheen,London,SW14 8BJ
3281,Tenby Mansions,3750000,Penthouse,2433,3,3,3, Marylebone,London,W1U 5ER
3282,Manor Road,2800000,House,4378,8,8,8,Chigwell,Essex,IG7 5PQ
3283,Worship Street,1100000,Flat / Apartment,1024,2,2,2,Shoreditch,London,EC2A 2AH
3284,Westleigh Avenue,2695000,House,3646,7,7,7,Putney,London,SW15 6RQ
3285,Benson House,1850000,New development,942,2,2,2,4 Radnor Terrace,London,W14 8FE
3286,Parnell Road,325000,Flat / Apartment,538,1,1,1,,London,E3 2RT
3287,Clapham Common North Side,2750000,House,3574,6,6,6,,London,SW4 9SE
3288,Wellington House,3500000,Penthouse,1662,3,3,3, Westminster,London,SW1E 6AL
3289,Colinette Road,4075000,House,5675,7,7,7,Putney,London,SW15 6QG
3290,Holland Park Villas,6950000,New development,1968,3,3,3,6 Campden Hill,London,W8 7AD
3291,North Grove,2500000,House,2597,4,4,4,Highgate,London,N6 4SH
3292,17 Lillie Square,830000,New development,600,1,1,1, Earls Court,London,SW6 1UE
3293,17 Lillie Square,1425000,New development,911,2,2,2, Earls Court,London,SW6 1UE
3294,Orchard Court,14500000,Flat / Apartment,4506,4,4,4, Marylebone,London,W1H 6LE
3295,Greville Road,699950,Flat / Apartment,901,1,1,1,St Johns Wood,London,NW6 5JA
3296,Sandpits Road,1125000,House,1458,4,4,4,Richmond,Surrey,TW10 7DT
3297,"Dominion House, Barts Square",900000,New development,522,1,1,1, Farringdon,London,EC1A 7BF
3298,Beechmore Road,915000,Flat / Apartment,1186,2,2,2,,London,SW11 4ET
3299,Wilton Crescent &  Kinnerton Street,19000000,House,6796,7,7,7,Belgravia,London,SW1X 8RN
3300,Denison House,525000,Flat / Apartment,844,2,2,2, Canary Wharf,London,E14 9JJ
3301,South Hill Park,1100000,Flat / Apartment,781,2,2,2,Hampstead,London,NW3 2SS
3302,Allingham Court,8850000,Penthouse,5138,3,3,3,44 The Bishops Avenue,London,N2 0BA
3303,Blackfriars Road,2985000,New development,1835,2,2,2,,London,SE1 9GD
3304,Carlton Hill,5695000,House,3110,4,4,4,St John's Wood,London,NW8 0EL
3305,Spice Court,725000,Flat / Apartment,1007,2,2,2,Asher Way,London,E1W 2JD
3306,Ikins House,23950000,New development,15405,7,7,7,Hampstead Heath,London,NW11
3307,Lancaster Gate,1300000,Flat / Apartment,834,2,2,2,Bayswater,London,W2 3LH
3308,Television Centre,1550000,New development,1016,2,2,2,5 Wood Crescent,London,W12 7GR
3309,Brompton Square,15495000,House,6359,7,7,7,,London,SW3 2AE
3310,Vincent Square,1425000,Flat / Apartment,1218,2,2,2,Westminster,London,SW1P 2PQ
3311,Gainsborough House,6175000,Penthouse,3150,3,3,3, Hampstead,London,NW3 6PZ
3312,Bartholomew Close,800000,Flat / Apartment,524,1,1,1, Barbican,London,EC1A 7BB
3313,Finchley Road,950000,Flat / Apartment,1241,3,3,3,Hampstead,London,NW3 7AA
3314,Dickens Close,3100000,House,3048,5,5,5,Richmond,Surrey,TW10 7AU
3315,Canaletto Tower,3200000,New development,2303,3,3,3,257 City Road,London,EC1V 1AF
3316,Barmouth Road,1300000,House,1690,4,4,4,Wandsworth,London,SW18 2DS
3317,Belgrave Court,1700000,Flat / Apartment,1771,3,3,3, Canary Wharf,London,E14 8RJ
3318,Wren Avenue,1400000,House,1814,4,4,4,Cricklewood,London,NW2 6UH
3319,10 Park Drive,1195000,New development,922,2,2,2,Canary Wharf,London,E14 9SG
3320,10 Park Drive,1125000,New development,1176,2,2,2,Canary Wharf,London,E14 9QL
3321,Mansfield Street,4950000,Flat / Apartment,2097,3,3,3,Marylebone,London,W1G 9NF
3322,Lincoln House,2300000,Flat / Apartment,1055,2,2,2,Basil Street,London,SW3 1AW
3323,Earls Terrace,9950000,House,5184,5,5,5,,London,W8 6LP
3324,Lillie Square,1950000,New development,1077,3,3,3, Earls Court,London,SW6 1UE
3325,Montevetro,3450000,Flat / Apartment,1954,2,2,2, Battersea,London,SW11 3YL
3326,Heathfield Gardens,3995000,House,3917,5,5,5,Wandsworth,London,SW18 2PJ
3327,Parliament View Apartments,1495000,Flat / Apartment,1115,3,3,3, Lambeth,London,SE1 7XQ
3328,Temple Road,1350000,House,1683,4,4,4,Chiswick,London,W4 5NW
3329,Mercer House,975000,New development,1065,3,3,3,20 St. Josephs Street,London,SW8 4DN
3330,Kensington Church Street,4000000,Penthouse,1851,3,3,3,,London,W8 7LP
3331,Oxford House,1450000,Flat / Apartment,1465,2,2,2,52 Parkside,London,SW19 5NE
3332,Lowther Road,3750000,House,3808,5,5,5,Barnes,London,SW13 9NX
3333,Onslow Gardens,14500000,Flat / Apartment,5907,5,5,5,,London,SW7 3PY
3334,Buckingham Gate,1950000,Flat / Apartment,1244,2,2,2,Westminster,London,SW1E 6PB
3335,Parliament View Apartments,2950000,Penthouse,1884,3,3,3, Lambeth,London,SE1 7XL
3336,Bryanston Mews West,5250000,House,3108,8,8,8,Marylebone,London,W1H 2BW
3337,Westover Road,4950000,House,4452,7,7,7,Wandsworth,London,SW18 2RE
3338,Claremont Road,2500000,House,6247,5,5,5, Esher,Surrey,KT10 0PL
3339,Lace House,525000,Flat / Apartment,619,1,1,1,Pamela Street,London,E8 4FL
3340,Citrine Apartments,435000,New development,474,1,1,1,New Gun Wharf,London,E3 5GF
3341,Cranmer Court,1800000,Flat / Apartment,1070,3,3,3,Whiteheads Grove,London,SW3 3HE
3342,Ranelagh House,1000000,Flat / Apartment,985,1,1,1,3-5 Elystan Place,London,SW3 3LD
3343,Chesham Place,1475000,Flat / Apartment,818,1,1,1,,London,SW1X 8HN
3344,Brompton Square,1100000,Flat / Apartment,538,1,1,1,,London,SW3 2AD
3345,Moore House,1450000,New development,1007,2,2,2,2 Gatliff Road,London,SW1W 8DT
3346,Rutland Gate,1395000,Flat / Apartment,711,2,2,2,,London,SW7 1PD
3347,Moore House,1050000,New development,1010,3,3,3, Grosvenor Waterside,London,SW1W 8DT
3348,Moore House,1050000,New development,758,1,1,1, Grosvenor Waterside,London,SW1W 8DU
3349,Kensington Church Street,3950000,New development,1924,3,3,3,Kensington,London,W8 7LP
3350,Church Street,765000,Flat / Apartment,1122,1,1,1,St. John's Wood,London,NW8 8EP
3351,Salvin Road,850000,Flat / Apartment,1008,2,2,2,Putney,London,SW15 1DR
3352,Cadogan Place,34000000,House,7798,6,6,6,Belgravia,London,SW1X 9RU
3353,St. Marys Mansions,1800000,Flat / Apartment,1388,3,3,3,St. Marys Terrace,London,W2 1SY
3354,Sankey House,485000,Flat / Apartment,632,2,2,2,St James Avenue,London,E2 9JE
3355,Riverwalk,2250000,Flat / Apartment,1292,2,2,2, Westminster,London,SW1P 4FA
3356,Manor Road,489950,House,765,1,1,1, Loughton,Essex,IG10 4AD
3357,St Agnes Close,840000,House,910,3,3,3,South Hackney,London,E9 7HS
3358,Television Centre,750000,New development,579,1,1,1,101 Wood Lane,London,W12 7FS
3359,Chiddingstone Street,1025000,Flat / Apartment,1358,3,3,3, Fulham,London,SW6 3TQ
3360,The Belvedere,2750000,Flat / Apartment,2136,3,3,3, Chelsea,London,SW10 0XA
3361,Myddelton Square,1500000,Flat / Apartment,1494,4,4,4,Clerkenwell,London,EC1R 1XP
3362,Parkfields,1000000,House,954,2,2,2,Putney,London,SW15 6NH
3363,Hotham Hall,1950000,Flat / Apartment,1878,3,3,3, Putney,London,SW15 1QS
3364,Addison Grove,925000,Flat / Apartment,1023,2,2,2,Chiswick,London,W4 1ER
3365,Michael Cliffe House,450000,Flat / Apartment,675,2,2,2,Skinner Street,London,EC1R 0LN
3366,Artichoke Hill,775000,Flat / Apartment,950,2,2,2,,London,E1W 2BA
3367,Regents Park Road,2500000,Flat / Apartment,1738,4,4,4,Primrose Hill,London,NW1 8XN
3368,Marlborough Place,8950000,House,5727,6,6,6,St. John's Wood,London,NW8 0PL
3369,Chandos Way,1275000,Flat / Apartment,1058,2,2,2,,London,NW11 7JH
3370,Hand & Flower House,800000,Flat / Apartment,681,1,1,1,617 Kings Road,London,SW6 2ES
3371,Hand & Flower House,1750000,New development,1453,2,2,2,617 Kings Road,London,SW6 2ES
3372,Dickens Yard,1200000,New development,1140,3,3,3, Ealing,London,W5 2XA
3373,Television Centre,790000,New development,591,1,1,1,101 Wood Lane,London,W12 7FS
3374,Viewpoint,639950,New development,779,2,2,2, Battersea,London,SW11 3RD
3375,Viewpoint,1119900,Penthouse,1141,3,3,3, Battersea,London,SW11 3RD
3376,Viewpoint,559950,New development,546,1,1,1, Battersea,London,SW11 3RD
3377,Atina Court,2725000,Flat / Apartment,1971,3,3,3, Belsize Park,London,NW3 4UR
3378,Cumberland Terrace,12950000,House,4693,5,5,5,Regent's Park,London,NW1 4HJ
3379,Stamford House,725000,Flat / Apartment,860,2,2,2,23 West Side Common,London,SW19 4UF
3380,Highgate Road,600000,Flat / Apartment,593,1,1,1,Kentish Town,London,NW5 1RT
3381,Tanza Road,2500000,Flat / Apartment,1680,3,3,3,Hampstead,London,NW3 2UA
3382,Mortimer Road,3500000,House,3174,4,4,4,Islington,London,N1 4LB
3383,Copse Wood Way,1725000,House,2924,6,6,6,Northwood,Middlesex,HA6 2TX
3384,Sheen Lane,2850000,House,3600,5,5,5,East Sheen,London,SW14 8RL
3385,Blenheim House,6250000,New development,2459,4,4,4, Shad Thames,London,SE1 2SF
3386,Stockleigh Hall,1250000,Flat / Apartment,816,2,2,2, St. John's Wood,London,NW8 7LA
3387,Lillie Square,8900000,Penthouse,2544,4,4,4, Earls Court,London,SW6 1UE
3388,Turnbull House,349950,Flat / Apartment,517,1,1,1,Windsor Street,London,N1 8QF
3389,Admiral Court,2250000,Flat / Apartment,1683,3,3,3, Chelsea Harbour,Chelsea,SW10 0UU
3390,Hilliard Road,800000,House,1432,4,4,4,Northwood,Middlesex,HA6 1SJ
3391,Thames Quay,2250000,Flat / Apartment,1515,3,3,3, Chelsea,London,SW10 0UY
3392,Copsem Lane,950000,House,3173,5,5,5,Esher,Surrey,KT10 9HQ
3393,Junction House,675000,New development,823,2,2,2, Battersea,London,SW11 2NU
3394,Upper Wimpole Street,14750000,House,9053,9,9,9,Marylebone,London,W1G 6LG
3395,Phoenix Lodge Mansions,1300000,Flat / Apartment,1367,3,3,3,Brook Green,London,W6 7BG
3396,Leicester Court,2095000,Flat / Apartment,2078,3,3,3,24 Clevedon Road,Twickenham,TW1 2TB
3397,Park Mansions,1350000,Flat / Apartment,1154,4,4,4,Prince of Wales Drive,London,SW11 4HQ
3398,Chandos Way,1600000,New development,1528,3,3,3, Golders Green,London,NW11 7HP
3399,Eccleston Square,1400000,Flat / Apartment,880,2,2,2, Westminster,London,SW1V 1NS
3400,Albemarle Street,16000000,Flat / Apartment,3486,3,3,3,Mayfair,London,W1S 4HY
3401,Lauderdale Mansions,1150000,Flat / Apartment,1032,3,3,3, Maida Vale,London,W9 1LX
3402,10 Park Drive,1230000,New development,960,2,2,2,Canary Wharf,London,E14 9SG
3403,Chandos Way,995000,New development,872,2,2,2, Golders Green,London,NW11 7HP
3404,Clarges Mayfair,11950000,New development,2347,2,2,2,Mayfair,London,W1J 8JB
3405,Candlemakers Apartments,2450000,Penthouse,2262,3,3,3,112 York Road,London,SW11 3RS
3406,Charterhouse Buildings,599995,Flat / Apartment,583,1,1,1,Clerkenwell,London,EC1M 7AN
3407,Wendover Court,1395000,Flat / Apartment,940,3,3,3, Marylebone,London,W1U 7NP
3408,Dalston Lane Terrace,815000,Flat / Apartment,1397,3,3,3,,London,E8 3AH
3409,Torrington Place,875000,House,1050,4,4,4,,London,E1W 2UY
3410,Beaufort Court,1075000,New development,1280,2,2,2,65 Maygrove Road,London,NW6 2DA
3411,Junction House,530000,New development,577,1,1,1, Battersea,London,SW11 2NU
3412,The Printworks,710000,New development,820,2,2,2, Crouch End,London,N8 9BU
3413,Cornwall Gardens,1200000,Flat / Apartment,732,3,3,3,,London,SW7 4AN
3414,Redcliffe Gardens,775000,Flat / Apartment,668,2,2,2,,London,SW10 9JJ
3415,Curzon Street,6500000,Flat / Apartment,2165,2,2,2,Mayfair,London,W1J 7TY
3416,Curzon Street,8500000,Flat / Apartment,2665,3,3,3,Mayfair,London,W1J 7TY
3417,Burlington Gate,13750000,Penthouse,2476,3,3,3,25 Cork Street,London,W1S 3NB
3418,Lillie Square,3650000,Penthouse,1700,4,4,4,,London,SW6 1UE
3419,Apartment W1105,2900000,New development,1293,2,2,2, 161 Millbank,London,SW1P 4FA
3420,Hamilton Terrace,25000000,House,12435,5,5,5,St Johns Wood,London,NW8 9UJ
3421,Cork Street,4100000,New development,1236,2,2,2,Mayfair,London,W1S 3NB
3422,Tollington Way,695000,New development,1023,2,2,2, London,N7 6QX,N7 6RG
3423,St. Edmunds Terrace,10000000,Penthouse,3368,4,4,4,St John's Wood,London,NW8 7ED
3424,Lowndes Square,13500000,Penthouse,3402,3,3,3,,London,SW1X 9HB
3425,Napier Place,2300000,House,1705,3,3,3,Holland Park,London,W14 8LG
3426,Norfolk Road,9500000,House,3974,8,8,8,St John's Wood,London,NW8 6AU
3427,Television Centre,800000,New development,619,1,1,1,6 Wood Crescent,London,W12 7GS
3428,Kensington Park Road,9000000,House,3932,4,4,4,Notting Hill,London,W11 3BU
3429,Hampstead Manor,1800000,New development,1352,3,3,3, Hampstead,London,NW3 7ST
3430,Pembridge Villas,5950000,New development,2770,2,2,2,Notting Hill,London,W11 2SU
3431,Consort Rise House,1385000,Flat / Apartment,1056,3,3,3, Victoria,London,SW1W 9TB
3432,Bessborough Place,2500000,House,1702,3,3,3,Pimlico,London,SW1V 3SE
3433,Chelsea Waterfront,7400000,New development,2806,4,4,4,Lots Road,London,SW10
3434,Park Place,25000000,New development,8356,5,5,5,St James's,London,SW1A 1LP
3435,Loudoun Road,4950000,House,2688,4,4,4,St John's Wood,London,NW8 0LY
3436,William Hunt Mansions,1150000,Flat / Apartment,1349,2,2,2, Barnes,London,SW13 8HS
3437,Chartwell House,2565000,New development,1766,3,3,3, Battersea,London,SW11 4FA
3438,Chartwell House,1044000,New development,869,2,2,2, Battersea,London,SW11 4FA
3439,Chartwell House,772000,New development,603,1,1,1, Battersea,London,SW11 4FA
3440,Bowden House,1466000,New development,1026,3,3,3, Battersea,London,SW11 4FA
3441,Bowden House,1123000,New development,772,2,2,2, Battersea,London,SW11 4FA
3442,Bowden House,778000,New development,636,1,1,1, Battersea,London,SW11 4FA
3443,Rosemary Gate,950000,Flat / Apartment,1154,2,2,2, Esher,Surrey,KT10 9NZ
3444,Hamilton Terrace,10950000,House,4728,6,6,6,St John's Wood,London,NW8 9QR
3445,Columbia Gardens North,1250000,New development,837,2,2,2,,London,SW6 1FU
3446,Corinthia Residences,8950000,New development,2956,3,3,3,10 Whitehall Place,London,SW1A 2BD
3447,Sharpleshall Street,1150000,Flat / Apartment,915,3,3,3,Primrose Hill,London,NW1 8YN
3448,Pembroke Square,4950000,House,2881,4,4,4,Kensington,London,W8 6PD
3449,Cheval House,21000000,Penthouse,5417,5,5,5,30 Montpelier Walk,London,SW7 1JF
3450,Chelsea Manor Street,9950000,New development,2782,2,2,2,Cheyne Terrace,London,SW3 5QP
3451,Heath Drive,2500000,Flat / Apartment,2480,4,4,4,Hampstead,London,NW3 7SB
3452,Gloucester Gate,4900000,House,3467,4,4,4,Regent's Park,London,NW1 4HG
3453,One Hyde Park,9950000,Flat / Apartment,1682,2,2,2,100 Knightsbridge,London,SW1X 7LJ
3454,Octavia Street,1995000,House,2200,5,5,5,Battersea,London,SW11 3DN
3455,Berkeley Tower,950000,Flat / Apartment,1327,2,2,2, Canary Wharf,London,E14 8RP
3456,Theodore Lodge,2450000,New development,2328,3,3,3, Copse Hill,Wimbledon,SW20 0QF
3457,Banyan House,2350000,Flat / Apartment,2207,2,2,2, Fulham,London,SW6 2PT
3458,Hampton Close,2495000,House,3047,6,6,6,Wimbledon,London,SW20 0RY
3459,Cork Street,5500000,New development,1409,2,2,2,Mayfair,London,W1S 3NB
3460,Acris Street,1200000,House,1692,4,4,4,Wandsworth,London,SW18 2QP
3461,Redington Road,6950000,House,3988,3,3,3,Hampstead,London,NW3 7RG
3462,Lauderdale Drive,2150000,House,3176,5,5,5,Richmond,Surrey,TW10 7BS
3463,St. Edmunds Terrace,11300000,Penthouse,3817,4,4,4,St. John's Wood,London,NW8 7ED
3464,Ryger House,9300000,New development,2496,3,3,3, St James's,London,SW1A 1RD
